"Cutthroat1"	"Bartuc's Cut-Throat"
"ModStr5d"	"Maksymalna Wytrzymałość"
"Mauler"	"Oprawca"
"StrSkill41"	"Obrażenia"
"D2bnetHelp13"	"/whisper <*nazwakonta>, /w <*nazwakonta>"
"D2bnetHelp13b"	"/msg <*nazwakonta>, /m <*nazwakonta>"
"D2bnetHelp15"	"/squelch <*nazwakonta>"
"D2bnetHelp15b"	"/ignore <*nazwakonta>"
"D2bnetHelp16"	"/unsquelch <*nazwakonta>"
"D2bnetHelp16b"	"/unignore <*nazwakonta>"
"D2bnetHelp21"	"/ban <*nazwakonta>"
"D2bnetHelp23"	"/designate <*nazwakonta>"
"D2bnetHelp24"	"/kick <*nazwakonta>"
"D2bnetHelp26"	"/whois <*nazwakonta>, /where <*nazwakonta>"
"D2bnetHelp26b"	"/whereis <*nazwakonta>"
"D2bnetHelp32"	"/stats <*nazwakonta> <IDprogramu>"
"x"	"PIEKŁO"
"x"	"KOSZMAR"
"x"	"NORMALNY"
"x"	"WYBIERZ POZIOM TRUDNOŚCI"
"ModStr6e"	"Wytrzymałość wypala się wolniej"
"xhm"	"Winged Helm"
"Hsarus' Defense"	"Hsarus' Defense"
"strModEnhancedDamage"	"Zwiększone obrażenia"
"strModAllResistances"	"Wszystkie odporności +%d"
"strModAllSkillLevels"	"+%d do Wszystkich Umiejętnośći"
"strModFireDamage"	"+%d Obrażeń od Ognia"
"strModFireDamageRange"	"Dodaje %d-%d Obrażeń od Ognia"
"strModColdDamage"	"+%d Obrażeń od Zimna"
"strModColdDamageRange"	"Dodaje %d-%d Obrażeń od Zimna"
"strModLightningDamage"	"+%d Obrażeń od Błyskawic"
"strModLightningDamageRange"	"Dodaje %d-%d Obrażeń od Błyskawic"
"strModMagicDamage"	"+%d Obrażeń od Magii"
"strModMagicDamageRange"	"Dodaje %d-%d Obrażeń od Magii"
"strModPoisonDamage"	"+%d Obrażeń od Trucizn w ciągu %d s"
"strModPoisonDamageRange"	"Dodaje %d-%d Obrażeń od Trucizn w Ciągu %d s"
"strModMinDamage"	"+%d Obrażeń"
"strModMinDamageRange"	"Dodaje %d-%d Obrażeń"
"strModEnhancedDamage"	"Zwiększone Obrażenia"
"ModStre9j"	"Rany od Ognia Zmniejszone o"
"ModStre9k"	"Rany od Zimna Zmniejszone o"
"ModStre9l"	"Rany od Błyskawic Zmniejszone o"
"ModStre9m"	"Rany od Trucizn Zmniejszone o"
"ModStre9n"	"Absorbuje Obrażenia od Magii"
"ModStre9o"	"Absorbuje Obrażenia od Ognia"
"ModStre9p"	"Absorbuje Obrażenia od Zimna"
"ModStre9q"	"Absorbuje Obrażenia od Błyskawic"
"ModStre9r"	"Absorbuje Obrażenia od Trucizn"
"of the Wraith"	"of the Wraith"
"of Equilibrium"	"of Equilibrium"
"Valkyrie's"	"Valkyrie's"
"Maiden's"	"Maiden's"
"Blank"	"Void"
"strEskilllighttoattack"	" Do Twojego Ataku"
"StrSklTabItem1"	"+%d to Javelin and Spear Skills"
"StrSklTabItem2"	"+%d to Passive and Magic Skills"
"StrSklTabItem3"	"+%d to Bow and Crossbow Skills"
"StrSklTabItem4"	"+%d to Defensive Auras"
"StrSklTabItem5"	"+%d to Offensive Auras"
"StrSklTabItem6"	"+%d to Combat Skills"
"StrSklTabItem6"	"+%d to Summoning Skills"
"StrSklTabItem7"	"+%d to Poison and Bone Skills"
"StrSklTabItem8"	"+%d to Curses"
"StrSklTabItem10"	"+%d to Warcries"
"StrSklTabItem11"	"+%d to Combat Skills"
"StrSklTabItem12"	"+%d to Masteries"
"StrSklTabItem13"	"+%d to Cold Skills"
"StrSklTabItem14"	"+%d to Lightning Skills"
"StrSklTabItem15"	"+%d to Fire Skills"
"StrSklTabItem16"	"+%d to Summoning Skills"
"StrSklTabItem17"	"+%d to Shape Shifting Skills"
"StrSklTabItem18"	"+%d to Elemental Skills"
"StrSklTabItem19"	"+%d to Traps"
"StrSklTabItem20"	"+%d to Shadow Disciplines"
"StrSklTabItem21"	"+%d to Martial Arts"
"x"	"Postać '%s' nie była używana przez ponad 3 miesiące i została wymazana."
"upgraderestrictEx"	"Bez biżuterii lub przedm. magicznych, z gniazdem, rzadkich, unikalnych, albo z zestawu."
"UndeadDescriptX"	"Nieumarły"
"DemonID"	"Demon"
"strScaryMonDescA"	""
"strScaryMonDescB"	"Immune to all Damage"
"strScaryMonDesc1"	"Niewrażliwy na Ogień"
"strScaryMonDesc2"	"Niewrażliwy na Zimno"
"strScaryMonDesc3"	"Niewrażliwy na Błyskawice"
"strScaryMonDesc4"	"Niewrażliwy na Trucizny"
"strScaryMonDesc5"	"Niewrażliwy na Ataki Fizyczne"
"strScaryMonDesc6"	"Niewrażliwy na Magię"
"PlayerNameOnItemstring"	"%s's"
"PlayerNameOnItemstringX"	"%s'"
"SetItemFormatX"	"%0"
"x"	"RANKING ROZSZERZENIA"
"x"	"ZAWODOWCY Z ROZSZERZENIA"
"D2bnetHelp47a"	"W RANKINGU ROZSZERZENIA pokazani są najlepsi gracze, uszeregowani pod względem doświadczenia. Standardowo pokazywane są statystyki ogólne, ale wybierając opcję 'Według Klasy' możesz je posortować."
"D2bnetHelp48a"	"W RANKINGU ZAWODOWCÓW Z ROZSZERZENIA pokazane są najlepsze postacie Zawodowe, uszeregowane według doświadczenia. Standardowo pokazywane są statystyki ogólne, ale wybierając opcję 'Według Klasy' możesz je posortować."
"x"	"Napraw wszystko"
"x"	"Napraw Cały Ekwipunek: "
"x"	"Żaden z przedmiotów nie wymaga naprawy"
"Druid"	"Druid"
"Assassin"	"Zabójczyni"
